Name	Alternate name	Alternate name 2	RA 2000 (h:m:s)	DEC 2000 (d:m:s)	SuBr	Radial velocity (km/sec)	hrv error	galaxy type	Remarks
			03 14 31.98	+42 46 14.9	20.2			E	
			03 14 34.19	+41 44 35.8	21.7			S(B?)	
			03 14 35.04	+41 05 11.4	22.3			Irr/S?	
			03 14 35.14	+41 38 11.1	22.5			SB	
			03 14 38.68	+41 04 16.9	22.1			comp	
			03 14 42.95	+41 41 22.3	22.3			SB?	
			03 14 46.96	+41 06 30.6	22.6			E/S?	
IC 301			03 14 47.74	+42 13 21.1	19.9	4888	38	E	
			03 14 49.25	+41 59 36.7	20.3			S/S0	
UGC 2605			03 14 49.63	+40 15 59.2	23.2	2981	6	S(late)	
			03 14 52.36	+42 24 53.7	23.3			?	
			03 14 59.59	+41 23 19.0	22.9			S	
UGC 2608			03 15 01.37	+42 02 08.9	19.5	6998	7	SBR	
			03 15 04.53	+41 21 22.0	20.9			S?	
			03 15 09.43	+42 03 19.0	20.2			S0/E?	
			03 15 12.80	+42 09 22.8	21.9			?	
UGC 2612			03 15 14.55	+41 58 50.2	21.2	9537	9	S	
			03 15 15.48	+41 51 04.9	21.7			E/S?	
			03 15 18.01	+42 10 57.7	22.2			S	
UGC 2614			03 15 17.98	+42 41 45.0	19.9	5252	48	SB	
			03 15 18.17	+41 19 41.8	22.7			S(late)	
			03 15 18.14	+41 31 31.1	21.6			E?	
PGC 12097			03 15 20.53	+41 36 44.7	20.8	5945	32	E(pec)/Irr	
NGC 1250			03 15 21.05	+41 21 19.2	19.5	6014	11	SB(early)	
			03 15 23.43	+40 39 29.5	20.3			S	
NPM +40.0072			03 15 25.39	+40 36 53.9	20.3			S/S0?	
			03 15 26.37	+41 04 18.6	22.5			S(late)	
NPM +42.0116			03 15 27.53	+42 32 47.7	21.3			E?	
PGC 12103			03 15 30.10	+41 15 04.3	19.4	5435	18	E	
			03 15 32.66	+40 07 30.7	21.8			E?	
			03 15 37.92	+42 33 39.0	21.6			E?	
			03 15 39.66	+41 08 48.6	22			S?	
			03 15 46.94	+40 45 25.8	20.5			S(early)	
			03 15 50.34	+41 23 01.8	21.9			S/Irr?	
UGC 2616			03 15 52.08	+41 51 27.2	19.9			S	
			03 15 53.28	+41 19 23.6	22.1			E?	
			03 15 54.05	+41 41 34.5	22.7			Irr?/S?	
			03 15 55.02	+40 13 20.6	21.8			?	
PGC 12126			03 15 57.68	+41 12 57.3	20.7	5711	18	S?	
			03 15 58.68	+42 26 26.4	22.2			S?	
			03 15 58.82	+42 12 08.6	21.6			E?	
UGC 2617			03 16 00.74	+40 53 08.3	21.3	4697	4	SB	
UGC 2618			03 16 00.91	+42 04 27.8	20.3	5385	94	S(BR?)	
			03 16 04.40	+42 05 54.5	21.8			E	
			03 16 05.28	+42 05 19.4	21.1			E	
IC 309			03 16 06.25	+40 48 16.5	19.9	4234	57	S0	
			03 16 11.04	+41 06 06.5	22.1			S?	
UGC 2619			03 16 15.79	+41 10 50.4	19.6	6292	71	SB0	
			03 16 16.19	+41 58 40.4	22			?	
			03 16 16.75	+42 24 44.7	22.3			SB?	
			03 16 18.08	+40 51 20.4	22.2			S?	
			03 16 21.95	+39 58 07.4	21.6			S	
NGC 1257			03 16 26.07	+41 31 49.3	19.6	4747	71	S0(B?)	
			03 16 26.99	+41 10 48.7	21.6			E	
PGC 12160			03 16 27.48	+41 37 37.4	20.1	4969	17	S0	
			03 16 33.99	+42 01 33.1	20.6			S(pec?)	
PGC 12166			03 16 34.44	+41 02 50.3	20.6	3844	9	S(comp)	
			03 16 34.53	+42 25 19.0	22.3			S(late)	
			03 16 35.14	+40 54 31.8	21.9			SBR	
			03 16 36.52	+42 24 36.2	22.4			S?	
			03 16 37.09	+41 47 21.5	21.5			S	
			03 16 38.36	+41 16 31.1	22.2			E?	
